smartworkout_id,smartworkout_zh,smartworkout_en,body_part,equipments,weight_type,laterality,mechanics,tags
01259ee3-bdff-47c4-b7dc-e5283ea89e01,滑动腿弯曲,Sliding Leg Curl,LEGS,BENCH,BODYWEIGHT,BILATERAL,ISOLATION,STRENGTH|MOBILITY|REHAB
019a870f-c75a-96aa-addc-5bc492b68bc8,杠铃颈后肩推举,Barbell Behind Neck Shoulder Press,SHOULDERS,BARBELL,BARBELL,BILATERAL,COMPOUND,STRENGTH|PUSH
01c5867e-2eb7-4f53-8b92-3a021d49cfea,弹力带肱二头肌弯举,Band Biceps Curl,BICEPS,RESISTANCE_BAND,BAND,BILATERAL,ISOLATION,STRENGTH|PULL
01f198ca-a257-4bf8-9f34-24f1f1179376,佐特曼弯举,Zottman Curl,BICEPS,DUMBBELL,DUMBBELL,BILATERAL,ISOLATION,STRENGTH|PULL
02be3155-246f-4620-be93-dbd682d3fbca,摇摆半蛙式拉伸,Rocking Half Frog Stretch,LEGS,,UNWEIGHTED,BILATERAL,ISOLATION,MOBILITY|STRETCH|WARMUP
02e00a0a-3cfc-445d-98b5-04a40b4ed741,屈膝卷腹,Knee Tuck Crunch,ABS,,BODYWEIGHT,BILATERAL,ISOLATION,CORE|STRENGTH
034b85f8-5cf8-4696-9351-f6c4a62f1880,站立胫骨前肌提拉,Standing Tibialis Raise,LEGS,,BODYWEIGHT,BILATERAL,ISOLATION,STRENGTH
03b44dbb-7517-432a-8906-17069ed494b2,安德森深蹲,Anderson Squat,LEGS,BARBELL|RACK,BARBELL,BILATERAL,COMPOUND,STRENGTH|FUNCTIONAL
03d73a15-6288-4c26-922f-dfc877f44128,单腿深蹲,Pistol Squat,LEGS,,BODYWEIGHT,UNILATERAL,COMPOUND,STRENGTH|BALANCE|MOBILITY|FUNCTIONAL
04035dba-efc3-4736-9b1b-bc4fd23d9695,单臂背阔肌下拉,One-Arm Lat Pulldown,BACK,CABLE_MACHINE,MACHINE,UNILATERAL,COMPOUND,STRENGTH|PULL
046c9a3a-c89b-436a-ae57-f042aab8ad16,弹力带肩推举,Band Shoulder Press,SHOULDERS,RESISTANCE_BAND,BAND,BILATERAL,COMPOUND,STRENGTH|PUSH|FUNCTIONAL
048f0d34-855e-4bff-ff32-a2d851a8757d,绳索夹胸,High Low Cable Chest Fly,CHEST,CABLE_MACHINE,MACHINE,BILATERAL,ISOLATION,STRENGTH|PUSH
04bb3bb4-e60d-4122-b1a6-771c2a4a5b59,反向腕屈俯卧撑,Reverse Wrist Push-Up,CHEST,,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|MOBILITY|PUSH
04cc2a5a-b69d-4ef3-b6f8-3e6a6115403b,负重引体向上,Weighted Pull-Up,BACK,PULL_UP_BAR|WEIGHT_PLATE,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|PULL
05047869-eeb1-4c65-948c-0d85715bacae,杠铃片前平举驱动,Plate Front Raise Drive,SHOULDERS,WEIGHT_PLATE,WEIGHTED,UNILATERAL,COMPOUND,STRENGTH|PUSH
05993bed-9c87-4387-b2ac-e5fc7980152d,窄握EZ杠铃弯举,Close-grip EZ Bar Curl,BICEPS,EZ_BAR,BARBELL,BILATERAL,ISOLATION,STRENGTH|PULL
0637306a-60ac-431c-89eb-f4a747ce6aa8,拜西臂屈伸,Bayesian Cable Curl,BICEPS,CABLE_MACHINE,MACHINE,BILATERAL,ISOLATION,STRENGTH|PULL
06744582-2ff9-4495-bdfb-6d10c13048d4,杠铃绳索弯举,Bar Cable Biceps Curl,BICEPS,CABLE_MACHINE,MACHINE,BILATERAL,ISOLATION,STRENGTH|PULL
06eba846-19b2-4802-88d2-e49c43184e13,负重西西深蹲,Weighted Sissy Squat,LEGS,DUMBBELL|KETTLEBELL|WEIGHT_PLATE,WEIGHTED,BILATERAL,ISOLATION,STRENGTH|BALANCE
0716159e-e991-422d-b4af-f88c38a00119,钻石俯卧撑,Diamond Push-Up,TRICEPS,,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|PUSH
07747821-38bb-4522-9f6b-b4ae4abf2282,杠铃地板卧推,Barbell Floor Press,CHEST,BARBELL,BARBELL,BILATERAL,COMPOUND,STRENGTH|PUSH
081d6aee-e878-4d7e-adda-925768ebf2bc,单臂哑铃俯身肩胛骨划船,One-Arm Dumbbell Bent Over Scapula Row,BACK,DUMBBELL,DUMBBELL,UNILATERAL,COMPOUND,STRENGTH|PULL
084947cf-098f-62f2-36b2-41547577e2b8,窄距45度腿举,Narrow Stance 45 Degree Leg Press,LEGS,PLATE_LOADED_MACHINE|SELECTORIZED_MACHINE,MACHINE,BILATERAL,COMPOUND,STRENGTH|PUSH
085cfcf8-548d-44df-8e92-eb9936752382,杠铃提踵,Barbell Calf Raise,LEGS,BARBELL,BARBELL,BILATERAL,ISOLATION,STRENGTH
085df570-92e9-46b5-ad8c-fd6650a4a498,坐姿单腿腘绳肌拉伸,Seated Single Leg Hamstring Stretch,LEGS,,UNWEIGHTED,UNILATERAL,ISOLATION,STRETCH|MOBILITY|WARMUP
08cde7c0-5988-4190-b12b-b0b565d113f6,手臂环绕,Arm Circles,SHOULDERS,,UNWEIGHTED,BILATERAL,ISOLATION,MOBILITY|WARMUP
08ebb48f-60d2-44e9-91f9-930e37b8d841,哑铃仰卧旋前,Dumbbell Lying Pronation,FOREARMS,DUMBBELL,DUMBBELL,BILATERAL,ISOLATION,REHAB
0935adff-a0ca-78d8-32f8-11f0f8d211f8,双杠臂屈伸,Weighted Dips,TRICEPS,DIP_BARS|WEIGHT_PLATE,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|PUSH
09836cd3-2e26-4f4f-8147-8be5997661b5,站立式下胸部位绳索推胸,Standing Cable Low Chest Press,CHEST,CABLE_MACHINE,MACHINE,BILATERAL,COMPOUND,STRENGTH|PUSH
09aed7e3-7a9c-4e38-81a6-bb7675692cbf,单臂中立腕哑铃弯举,One-Arm Neutral Wrist Dumbbell Curl,FOREARMS,DUMBBELL,DUMBBELL,UNILATERAL,ISOLATION,STRENGTH
0a75e037-9658-4706-a497-d7efe844e10b,徒手风车式,Bodyweight Windmill,ABS,,UNWEIGHTED,ALTERNATING,COMPOUND,MOBILITY|CORE|BALANCE|FUNCTIONAL
0a7f804c-c8b2-410f-aaf2-596f30494ee9,窄握引体向上,Close Grip Pull Up,BACK,PULL_UP_BAR,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|PULL
0ad57432-b306-46f9-a486-635db0a1080c,旋转躯干,Rotary Torso,ABS,PLATE_LOADED_MACHINE|SELECTORIZED_MACHINE,MACHINE,UNILATERAL,ISOLATION,STRENGTH|CORE
0ad70853-bd66-45d1-bfa2-9f57c2c9fd5f,哑铃交替前举,Dumbbell Front Raise,SHOULDERS,DUMBBELL,DUMBBELL,BILATERAL,ISOLATION,STRENGTH|PUSH
0b59dd85-d65d-4e28-bad1-2a74fc204504,哑铃单腿臀桥,Dumbbell Single Leg Hip Thrust,GLUTEUS,DUMBBELL|BENCH,BODYWEIGHT,UNILATERAL,COMPOUND,STRENGTH|BALANCE|FUNCTIONAL
0bc3273a-e419-43f3-a559-fa641860f75c,绳索上斜仰卧臂屈伸,Cable Incline Skull Crusher,TRICEPS,CABLE_MACHINE|BENCH,MACHINE,BILATERAL,ISOLATION,STRENGTH|PUSH
0bcffb2d-f78d-48b8-a3d8-3b49f166a66f,半蹲,Half Squat,LEGS,,BARBELL,BILATERAL,COMPOUND,STRENGTH|FUNCTIONAL
0c179dee-0e67-473f-84ce-02a48a1e0513,跪姿弹力带臀部后踢,Kneeling Resistance Band Glute Kickback,GLUTEUS,RESISTANCE_BAND,BAND,UNILATERAL,ISOLATION,STRENGTH|FUNCTIONAL
0c3e27ed-e95b-7611-a3e8-7dab63585d21,杠铃划船,Barbell Bent Over Row,BACK,BARBELL,BARBELL,BILATERAL,COMPOUND,STRENGTH|PULL
0d4721f5-3941-4356-9666-4f210bb6b314,L型坐姿,L-Sit,ABS,PARALLETTES|DIP_BARS|PULL_UP_BAR,BODYWEIGHT,BILATERAL,ISOLATION,STRENGTH|CORE|ISOMETRIC|BALANCE
0d70c540-52d7-41d0-b32d-448e6d0033ae,弹力带站姿侧弯,Band Standing Side Bend,ABS,RESISTANCE_BAND,BAND,UNILATERAL,ISOLATION,MOBILITY|CORE|BALANCE
0d99097d-9865-470d-823e-a6170baf0631,绳索前平举,Cable Front Raise,SHOULDERS,CABLE_MACHINE,MACHINE,UNILATERAL,ISOLATION,STRENGTH|PUSH
0e833972-04f5-c0d4-c790-2400bfd748ca,坐姿扭转,Sitting Twist,ABS,,BODYWEIGHT,ALTERNATING,ISOLATION,CORE|MOBILITY
0ea2687b-5d78-4041-8ad4-66a6a8848da1,单臂拉力器侧平举,One-Arm Cable Lateral Raise,SHOULDERS,CABLE_MACHINE,MACHINE,UNILATERAL,ISOLATION,STRENGTH
0ec75482-1934-4b86-84d2-46da9a89d67d,水平钢索扭转,Cable Twist (horizontal),ABS,CABLE_MACHINE,MACHINE,ALTERNATING,COMPOUND,STRENGTH|CORE|FUNCTIONAL
0f7bb383-5b6c-4065-8d63-21b9925d37f0,绳索交叉三头肌伸展,Cable Cross Triceps Extension,TRICEPS,CABLE_MACHINE,MACHINE,BILATERAL,ISOLATION,STRENGTH|PUSH
0fb71315-b620-4bef-8192-3ccae70dfa5b,腿部内外收缩,Leg In and Out,ABS,PLATE_LOADED_MACHINE|SELECTORIZED_MACHINE,BODYWEIGHT,BILATERAL,ISOLATION,CORE|MOBILITY|BALANCE
10544e2e-3765-1ba9-b753-c9ccd60b06d4,上斜杠铃卧推,Incline Barbell Bench Press,CHEST,BARBELL|BENCH,BARBELL,BILATERAL,COMPOUND,STRENGTH|PUSH
114ad863-9971-40c3-8108-2a983fe656ae,缺口硬拉,Deficit Deadlift,LEGS,BARBELL|PLYO_BOX,BARBELL,BILATERAL,COMPOUND,STRENGTH|PULL
11abe949-7bce-4971-95c0-f754772ee813,负重下斜卷腹,Weighted Decline Crunch,ABS,WEIGHT_PLATE|BENCH,BODYWEIGHT,BILATERAL,ISOLATION,STRENGTH|CORE
11cbfb54-8f47-47a4-9ff5-8c98188d4015,超人俯卧撑,Superman Push-Up,CHEST,GYMNASTIC_RINGS,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|PUSH|CORE
127dc619-8078-4148-907b-e08a49f1676a,哑铃台阶反向弓步,Dumbbell Reverse Lunge off Step,GLUTEUS,DUMBBELL|PLYO_BOX,DUMBBELL,ALTERNATING,COMPOUND,STRENGTH|BALANCE|FUNCTIONAL
12838e78-2632-4e2b-87c9-3926e86a7e1a,哑铃坐姿侧平举,Dumbbell Seated Lateral Raise,SHOULDERS,DUMBBELL,DUMBBELL,BILATERAL,ISOLATION,STRENGTH
12b4858c-6c84-43b4-964d-cfd590ff7958,单臂哑铃腕屈曲,One-Arm Wrist Curl Dumbbell,FOREARMS,DUMBBELL,DUMBBELL,UNILATERAL,ISOLATION,STRENGTH
12c994b1-6251-4d3e-96e6-8186ee6a0afd,负重坐姿提踵,Weighted Seated Calf Raise,LEGS,PLATE_LOADED_MACHINE|SELECTORIZED_MACHINE,WEIGHTED,BILATERAL,ISOLATION,STRENGTH
138862a9-3d34-4aa7-86f0-13e35d16e12f,单臂下拉绳低位划船,One-Arm Cable Low Row,BACK,CABLE_MACHINE,MACHINE,UNILATERAL,COMPOUND,STRENGTH|PULL
13a0a404-a40c-4565-b125-29a3c83a2bd6,坐姿绳索宽握划船,Seated Cable Wide Grip Row,BACK,CABLE_MACHINE,MACHINE,BILATERAL,COMPOUND,STRENGTH|PULL
13cc32dc-dbee-4e85-b1e5-ee7fecdbb845,史密斯椅式深蹲,Smith Chair Squat,LEGS,SMITH_MACHINE,MACHINE,BILATERAL,COMPOUND,STRENGTH
14046b3a-d435-4452-925e-511a8addfffb,悬挂剪刀踢,Hanging Scissors Kicks,ABS,PULL_UP_BAR,BODYWEIGHT,ALTERNATING,ISOLATION,CORE|BALANCE|FUNCTIONAL
142bd4e5-6755-42e2-83ad-cbfcf6388dab,坐姿髋内收,Seated Hip Adduction,LEGS,SELECTORIZED_MACHINE,MACHINE,BILATERAL,ISOLATION,STRENGTH
149f6670-3321-4e86-a231-796f1c26a1a4,腹肌轮滚动,Ab Wheel Rollout,ABS,,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|CORE|BALANCE|FUNCTIONAL
15c51d26-076f-4ceb-8702-c15fdf3cb937,韩国式双杠臂屈伸,Korean Dip,CHEST,DIP_BARS,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|PUSH
15f450f0-f4f1-4391-b59e-c79cd37956ac,哑铃侧桥,Dumbbell Side Bridge,ABS,DUMBBELL,DUMBBELL,UNILATERAL,COMPOUND,CORE|BALANCE|ISOMETRIC
16e79f27-f9b4-4162-9de2-37fe0dde76d8,反握下拉绳三头肌推压,Triceps Cable Pushdown Reverse Grip,TRICEPS,CABLE_MACHINE,MACHINE,BILATERAL,ISOLATION,STRENGTH|PUSH
17325fc8-61c6-4697-9fe1-17e7ece44254,杠铃限位深蹲,Pin Squat,LEGS,BARBELL|RACK,BARBELL,BILATERAL,COMPOUND,STRENGTH
174978b8-1b92-4700-96d0-98d1835628dd,哑铃蜘蛛弯举,Dumbbell Spider Curl,BICEPS,DUMBBELL,DUMBBELL,UNILATERAL,ISOLATION,STRENGTH|PULL
17d168cd-9745-60f3-f30f-7ec574eaf8a3,杰伊姆卧推,JM Press,TRICEPS,BARBELL|BENCH,BARBELL,BILATERAL,COMPOUND,STRENGTH|PUSH
183cf14a-3214-4b69-8047-c5ddb4fa0f08,站立前屈,Standing Forward Bend,LEGS,,UNWEIGHTED,BILATERAL,ISOLATION,MOBILITY|STRETCH|BALANCE|WARMUP
18610132-0355-4f53-82e5-73fdd3a4450e,弹力带站姿扭转卷腹,Band Standing Twisting Crunches,ABS,RESISTANCE_BAND,BAND,ALTERNATING,ISOLATION,CORE|FUNCTIONAL
187d7214-9b1e-4f2d-b028-f2aebd561d8b,小腿腿举,Calf Leg Press,LEGS,SMITH_MACHINE,MACHINE,BILATERAL,ISOLATION,STRENGTH|PUSH
18d649a8-769d-4722-837f-556903fe81ba,低位滑轮上斜卧推,Low Cable Incline Bench Press,CHEST,CABLE_MACHINE,MACHINE,BILATERAL,COMPOUND,STRENGTH|PUSH
190a6523-03bb-4305-8a19-7ec55b680f15,交叉臂俯卧撑,Cross Arms Push-Up,TRICEPS,,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|PUSH|CORE|FUNCTIONAL
19189e1a-aef2-4924-9e8c-ee84c84ed434,仰卧屈膝悬空保持,Hollow Body Hold,ABS,,BODYWEIGHT,BILATERAL,ISOLATION,CORE|ISOMETRIC
19862249-cbd3-4104-bcc0-b5ad1c21bd73,杠铃推举,Barbell Push Press,SHOULDERS,BARBELL,BARBELL,BILATERAL,COMPOUND,STRENGTH|EXPLOSIVE|PUSH
199d1583-7187-407d-b15e-87d74b6fa9d1,站立式钢索胸部推举,Standing Cable Chest Press,CHEST,CABLE_MACHINE,MACHINE,BILATERAL,COMPOUND,STRENGTH|PUSH|FUNCTIONAL
1a6fdebd-5789-415d-9724-bda20c1c846e,横叉平板支撑,Straddle Planche,SHOULDERS,PARALLETTES,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|CORE|BALANCE|ISOMETRIC
1a9dfa03-6633-4c8e-830e-1c5928b8c0d7,绳索直臂背阔肌下拉,Rope Straight-Arm Lat Pulldown,BACK,CABLE_MACHINE,MACHINE,BILATERAL,ISOLATION,STRENGTH|PULL
1aebfa21-78be-447d-abc5-366df35d3aef,负重直臂卷腹,Weighted Straight Arm Crunch,ABS,WEIGHT_PLATE,WEIGHTED,BILATERAL,ISOLATION,STRENGTH|CORE
1b067cc9-2501-41fc-97fe-cd35e92c3098,绳索宽握颈后下拉,Cable Wide Grip Behind Neck Pulldown,BACK,CABLE_MACHINE,MACHINE,BILATERAL,COMPOUND,STRENGTH|PULL
1b12da4f-fdea-458c-a3dc-d630bc297639,坐姿古巴推举,Seated Cuban Press,SHOULDERS,DUMBBELL|BENCH,DUMBBELL,BILATERAL,COMPOUND,STRENGTH|PUSH
1bf3fec3-3ec8-48b8-bb5c-7439876c7aab,单臂哑铃肩推,One-Arm Shoulder Press Dumbbell,SHOULDERS,DUMBBELL,DUMBBELL,UNILATERAL,COMPOUND,STRENGTH|PUSH|BALANCE
1dd0ba84-d102-4e5a-ad25-58ebfa8edf9f,抓举,Snatch,LEGS,BARBELL,BARBELL,BILATERAL,COMPOUND,STRENGTH|EXPLOSIVE|BALANCE|FUNCTIONAL
1ded3dfe-6517-40db-909b-dc8b4b64d932,宽握背部引体向上,Wide Grip Rear Pull-Up,BACK,PULL_UP_BAR,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|PULL
1f0ed45d-5c7d-7d28-1df8-5dac013c1c38,宽握引体向上,Pull-Up Wide Grip,BACK,PULL_UP_BAR,BODYWEIGHT,BILATERAL,COMPOUND,STRENGTH|PULL|FUNCTIONAL
1f8d0b3c-4924-403e-aea7-4ba4dd085553,固定式自行车,Stacionary Bike,LEGS,,BODYWEIGHT,BILATERAL,COMPOUND,CARDIO|WARMUP
