local_id,local_zh,local_en,aliases_zh,aliases_en,exercise_type,movement_pattern,load_type,primary_muscles,coverage_status,strict_remote_matches,alias_remote_matches,fuzzy_candidates
barbell_back_squat,杠铃深蹲,Barbell Back Squat,深蹲|后蹲|杠铃后蹲,back squat|barbell squat,strength,squat,external_weight,quadriceps|glutes,strict_display_match,杠铃深蹲 / Barbell Squat [LEGS; BARBELL],深蹲 / Squat [LEGS; BODYWEIGHT],253:深蹲 / Squat [LEGS; BODYWEIGHT]|248:杠铃深蹲 / Barbell Squat [LEGS; BARBELL]|36:安德森深蹲 / Anderson Squat [LEGS; BARBELL]|36:单腿深蹲 / Pistol Squat [LEGS; BODYWEIGHT]|36:负重西西深蹲 / Weighted Sissy Squat [LEGS; WEIGHTED]|36:半蹲 / Half Squat [LEGS; BARBELL]|36:史密斯椅式深蹲 / Smith Chair Squat [LEGS; MACHINE]|36:杠铃限位深蹲 / Pin Squat [LEGS; BARBELL]
bodyweight_squat,徒手深蹲,Bodyweight Squat,自重深蹲|空蹲,air squat|bodyweight squat,strength,squat,bodyweight,quadriceps|glutes,candidate_review,,,141:深蹲 / Squat [LEGS; BODYWEIGHT]|71:史密斯椅式深蹲 / Smith Chair Squat [LEGS; MACHINE]|36:安德森深蹲 / Anderson Squat [LEGS; BARBELL]|36:单腿深蹲 / Pistol Squat [LEGS; BODYWEIGHT]|36:负重西西深蹲 / Weighted Sissy Squat [LEGS; WEIGHTED]|36:半蹲 / Half Squat [LEGS; BARBELL]|36:杠铃深蹲 / Barbell Squat [LEGS; BARBELL]|36:杠铃限位深蹲 / Pin Squat [LEGS; BARBELL]
smith_machine_squat,史密斯深蹲,Smith Machine Squat,史密斯机深蹲,smith squat,strength,squat,machine,quadriceps|glutes,strict_display_match,史密斯深蹲 / Smith Squat [LEGS; MACHINE],,260:史密斯深蹲 / Smith Squat [LEGS; MACHINE]|118:史密斯机深蹲至凳 / Smith Squat To Bench [LEGS; MACHINE]|94:深蹲 / Squat [LEGS; BODYWEIGHT]|48:史密斯椅式深蹲 / Smith Chair Squat [LEGS; MACHINE]|48:史密斯机保加利亚深蹲 / Bulgarian Squat Smith [LEGS; MACHINE]|48:史密斯机哈克深蹲 / Smith Hack Squat [LEGS; MACHINE]|48:史密斯机分腿蹲 / Smith Split Squat [LEGS; MACHINE]|48:史密斯机前蹲 / Smith Front Squat [LEGS; MACHINE]
leg_press,腿举,Leg Press,坐姿腿举|器械腿举,machine leg press,strength,squat,machine,quadriceps|glutes,strict_display_match,仰卧腿举 / Leg Press [LEGS; MACHINE],,183:仰卧腿举 / Leg Press [LEGS; MACHINE]|83:窄距45度腿举 / Narrow Stance 45 Degree Leg Press [LEGS; MACHINE]|83:小腿腿举 / Calf Leg Press [LEGS; MACHINE]|83:宽距腿举 / Leg Press Wide Stance [LEGS; MACHINE]|83:单腿推举 / Single Leg Press [LEGS; MACHINE]|83:史密斯机垂直腿举 / Vertical Leg Press Smith Machine [LEGS; MACHINE]|83:杠杆式水平腿举 / Lever Horizontal Leg Press [LEGS; MACHINE]|24:滑动腿弯曲 / Sliding Leg Curl [LEGS; BODYWEIGHT]
barbell_romanian_deadlift,杠铃罗马尼亚硬拉,Barbell Romanian Deadlift,罗马尼亚硬拉|杠铃RDL,barbell rdl|romanian deadlift,strength,hinge,external_weight,hamstrings|glutes,alias_match_review,,罗马尼亚硬拉 / Romanian Deadlift [GLUTEUS; BARBELL],330:罗马尼亚硬拉 / Romanian Deadlift [GLUTEUS; BARBELL]|118:单腿罗马尼亚硬拉 / Single Leg Romanian Deadlift [GLUTEUS; DUMBBELL]|118:绳索罗马尼亚硬拉 / Cable Romanian Deadlift [LEGS; MACHINE]|118:B姿势罗马尼亚硬拉 / B Stance Romanian Deadlift [LEGS; DUMBBELL]|118:哑铃罗马尼亚硬拉 / Dumbbell Romanian Deadlift [LEGS; DUMBBELL]|118:史密斯罗马尼亚硬拉 / Smith Romanian Deadlift [LEGS; MACHINE]|94:传统硬拉 / Deadlift [LEGS; BARBELL]|24:缺口硬拉 / Deficit Deadlift [LEGS; BARBELL]
dumbbell_romanian_deadlift,哑铃罗马尼亚硬拉,Dumbbell Romanian Deadlift,哑铃RDL,dumbbell rdl,strength,hinge,external_weight,hamstrings|glutes,strict_display_match,哑铃罗马尼亚硬拉 / Dumbbell Romanian Deadlift [LEGS; DUMBBELL],,236:哑铃罗马尼亚硬拉 / Dumbbell Romanian Deadlift [LEGS; DUMBBELL]|94:罗马尼亚硬拉 / Romanian Deadlift [GLUTEUS; BARBELL]|47:传统硬拉 / Deadlift [LEGS; BARBELL]|24:单腿罗马尼亚硬拉 / Single Leg Romanian Deadlift [GLUTEUS; DUMBBELL]|24:绳索罗马尼亚硬拉 / Cable Romanian Deadlift [LEGS; MACHINE]|24:B姿势罗马尼亚硬拉 / B Stance Romanian Deadlift [LEGS; DUMBBELL]|24:史密斯罗马尼亚硬拉 / Smith Romanian Deadlift [LEGS; MACHINE]
glute_bridge,臀桥,Glute Bridge,自重臀桥,bodyweight glute bridge,strength,hinge,bodyweight,glutes|hamstrings,strict_display_match,臀桥 / Hip Thrust [GLUTEUS; BARBELL]|臀桥 / Glute Bridge [GLUTEUS; BODYWEIGHT]|臀桥 / Hip Thrust [GLUTEUS; BODYWEIGHT],,295:臀桥 / Glute Bridge [GLUTEUS; BODYWEIGHT]|112:臀桥 / Hip Thrust [GLUTEUS; BARBELL]|112:臀桥 / Hip Thrust [GLUTEUS; BODYWEIGHT]|95:KAS 臀桥 / KAS Glute Bridge [GLUTEUS; BARBELL]|83:迷你弹力带臀桥 / Mini Band Glute Bridge [GLUTEUS; BODYWEIGHT]|83:负重臀桥 / Weighted Glute Bridge [GLUTEUS; BODYWEIGHT]|83:杠铃臀桥 / Barbell Glute Bridge [GLUTEUS; BARBELL]|83:仰卧臀桥在长凳上 / Glute Bridge on Bench [GLUTEUS; UNWEIGHTED]
barbell_hip_thrust,杠铃臀推,Barbell Hip Thrust,臀推|杠铃髋推,hip thrust|barbell hip thrust,strength,hinge,external_weight,glutes,alias_match_review,,臀桥 / Hip Thrust [GLUTEUS; BARBELL]|臀桥 / Hip Thrust [GLUTEUS; BODYWEIGHT],242:臀桥 / Hip Thrust [GLUTEUS; BARBELL]|242:臀桥 / Hip Thrust [GLUTEUS; BODYWEIGHT]|107:哑铃单腿臀桥 / Dumbbell Single Leg Hip Thrust [GLUTEUS; BODYWEIGHT]|107:史密斯机臀推 / Hip Thrust Smith Machine [GLUTEUS; MACHINE]|107:哑铃单腿臀桥 / Dumbbell Single Leg Hip Thrust [GLUTEUS; BODYWEIGHT]|107:史密斯机跪姿臀桥 / Smith Kneeling Hip Thrust [LEGS; MACHINE]|107:器械臀桥 / Machine Hip Thrust [GLUTEUS; MACHINE]|107:哑铃臀桥 / Dumbbell Hip Thrust [GLUTEUS; DUMBBELL]
barbell_bench_press,杠铃卧推,Barbell Bench Press,卧推|平板卧推|平板杠铃卧推,bench press|barbell bench press,strength,horizontal_push,external_weight,chest|triceps,strict_display_match,杠铃卧推 / Barbell Bench Press [CHEST; BARBELL],卧推 / Pin Bench Press [CHEST; BARBELL],418:杠铃卧推 / Barbell Bench Press [CHEST; BARBELL]|183:卧推 / Pin Bench Press [CHEST; BARBELL]|176:上斜杠铃卧推 / Incline Barbell Bench Press [CHEST; BARBELL]|176:下斜杠铃卧推 / Decline Barbell Bench Press [CHEST; BARBELL]|141:杠铃链条卧推 / Barbell Bench Press with Chains [CHEST; BARBELL]|71:低位滑轮上斜卧推 / Low Cable Incline Bench Press [CHEST; MACHINE]|71:窄握史密斯机卧推 / Close Grip Smith Bench Press [TRICEPS; MACHINE]|71:窄握上斜哑铃卧推 / Close Grip Incline Dumbbell Bench Press [TRICEPS; DUMBBELL]
dumbbell_bench_press,哑铃卧推,Dumbbell Bench Press,卧推|平板哑铃卧推,bench press|dumbbell bench press,strength,horizontal_push,external_weight,chest|triceps,strict_display_match,哑铃卧推 / Dumbbell Bench Press [CHEST; DUMBBELL],卧推 / Pin Bench Press [CHEST; BARBELL],418:哑铃卧推 / Dumbbell Bench Press [CHEST; DUMBBELL]|183:卧推 / Pin Bench Press [CHEST; BARBELL]|176:窄握上斜哑铃卧推 / Close Grip Incline Dumbbell Bench Press [TRICEPS; DUMBBELL]|176:斜面哑铃卧推 / Incline Dumbbell Bench Press [CHEST; DUMBBELL]|176:锤式握法哑铃卧推 / Hammer Grip Dumbbell Bench Press [CHEST; DUMBBELL]|176:单臂哑铃卧推 / One-Arm Dumbbell Bench Press [CHEST; DUMBBELL]|176:下斜哑铃卧推 / Decline Dumbbell Bench Press [CHEST; DUMBBELL]|71:上斜杠铃卧推 / Incline Barbell Bench Press [CHEST; BARBELL]
